host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_as_host,host_response_time_hours,bathroom_type,amenities_count,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathroom_type_,bathroom_type_bath,bathroom_type_baths,bathroom_type_half-bath,bathroom_type_private bath,bathroom_type_shared bath,bathroom_type_shared baths
100,98,0,45.0,55.0,1,1,13.71506,100.51319,Entire home/apt,3,1.0,2,1,1001.0,1,365,1,0,0,7,282,135,16,2,4.4,4.57,4.59,4.62,4.67,4.32,4.34,1,41,41,0,0,0.97,4789,1,bath,22,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.7133,100.51337,Entire home/apt,2,1.0,1,1,921.0,1,1125,1,23,53,83,174,174,12,0,4.54,4.71,4.76,4.84,4.79,4.41,4.52,1,41,41,0,0,1.25,4789,1,bath,19,1,0,0,0,0,1,0,0,0,0,0
100,95,1,10.0,10.0,1,1,13.74538,100.59943,Entire home/apt,2,1.0,0,1,888.0,7,365,1,3,6,6,46,64,3,0,4.72,4.82,4.8,4.87,4.89,4.19,4.6,0,10,10,0,0,0.46,4342,1,bath,33,1,0,0,0,0,1,0,0,0,0,0
100,98,0,45.0,55.0,1,1,13.71628,100.51238,Entire home/apt,2,1.0,1,1,990.0,1,1125,1,21,48,78,353,133,11,0,4.56,4.7,4.69,4.65,4.69,4.38,4.55,1,41,41,0,0,0.95,4789,1,bath,23,1,0,0,0,0,1,0,0,0,0,0
100,98,0,4.0,5.0,1,1,13.72393,100.57647,Entire home/apt,4,2.0,2,3,2873.0,5,60,1,0,8,38,208,56,20,3,4.73,4.82,4.61,4.86,4.86,4.95,4.61,0,4,4,0,0,0.51,4339,1,baths,45,1,0,0,0,0,0,1,0,0,0,0
100,100,0,2.0,2.0,1,1,13.78662,100.53913,Entire home/apt,4,1.0,2,2,3000.0,2,730,1,7,21,46,226,7,3,2,4.71,4.86,4.71,5.0,5.0,4.57,4.71,0,1,1,0,0,0.05,4330,1,bath,40,1,0,0,0,0,1,0,0,0,0,0
100,100,1,4.0,10.0,1,1,13.67907,100.52887,Entire home/apt,2,1.0,1,1,922.0,28,365,1,14,44,74,349,28,1,0,4.32,4.7,4.61,4.59,4.61,3.74,4.44,0,4,4,0,0,0.23,4535,1,bath,18,1,0,0,0,0,1,0,0,0,0,0
100,100,1,4.0,10.0,1,1,13.72162,100.5075,Entire home/apt,4,2.0,2,2,2220.0,7,1125,1,12,19,32,307,111,11,0,4.68,4.81,4.79,4.89,4.84,4.59,4.69,0,4,4,0,0,0.78,4535,1,baths,19,1,0,0,0,0,0,1,0,0,0,0
100,68,1,4.0,6.0,1,1,13.73093,100.5644,Private room,3,1.0,1,1,2200.0,29,365,1,4,34,64,244,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,0,1,0,1,0,0.02,4934,1,private bath,22,0,0,1,0,0,0,0,0,1,0,0
95,80,0,16.0,22.0,1,1,13.73789,100.64271,Private room,2,1.0,1,1,850.0,1,180,1,29,59,89,364,13,3,0,3.92,3.92,4.58,4.17,3.67,4.17,4.17,0,12,0,12,0,0.13,4331,3,bath,17,0,0,1,0,0,1,0,0,0,0,0
95,80,0,16.0,22.0,1,1,13.78327,100.67124,Private room,2,1.0,1,1,700.0,1,90,1,30,60,90,365,3,0,0,5.0,5.0,5.0,5.0,5.0,4.0,4.33,0,12,0,12,0,0.04,4331,3,bath,7,0,0,1,0,0,1,0,0,0,0,0
100,100,1,1.0,5.0,1,1,13.72174,100.50769,Entire home/apt,4,1.0,1,2,1747.0,3,366,1,3,16,32,289,138,23,1,4.72,4.78,4.71,4.57,4.71,4.75,4.71,1,1,1,0,0,1.03,4325,1,bath,33,1,0,0,0,0,1,0,0,0,0,0
100,92,0,2.0,5.0,1,1,13.74381,100.54792,Entire home/apt,2,2.0,2,2,2250.0,7,730,1,7,20,45,135,119,10,0,4.9,4.91,4.81,4.96,4.93,4.8,4.83,0,1,1,0,0,0.86,4324,3,baths,19,1,0,0,0,0,0,1,0,0,0,0
96,50,0,5.0,5.0,1,1,13.71847,100.50914,Entire home/apt,3,1.0,1,1,3025.0,45,1125,1,0,0,0,208,1,0,0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,0,5,5,0,0,0.01,4324,1,bath,25,1,0,0,0,0,1,0,0,0,0,0
96,50,0,5.0,5.0,1,1,13.71672,100.5092,Entire home/apt,3,1.0,1,2,1268.0,5,1125,1,0,0,0,209,72,0,0,4.56,4.49,4.49,4.62,4.75,4.61,4.51,1,5,5,0,0,0.55,4324,1,bath,25,1,0,0,0,0,1,0,0,0,0,0
100,100,1,3.0,4.0,1,0,13.726709365844728,100.56356048583984,Entire home/apt,2,1.0,1,1,1850.0,1,1125,1,0,23,53,143,18,12,1,5.0,5.0,4.94,5.0,5.0,4.83,4.94,0,3,3,0,0,0.15,4320,1,bath,37,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1.0,2.0,1,1,13.73862,100.585,Private room,1,2.0,1,1,1049.0,3,30,1,19,49,79,354,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0.01,5127,72,baths,17,0,0,1,0,0,0,1,0,0,0,0
